frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.48, 0.42, 0.77, 0.08, 0.00, 0.81, 0.00, 0.98, 0.80, 0.78, 0.10, 0.11, 0.00, 0.00, 0.19, 0.29, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.033,  0.98,  1, 0.33, 0.33, 0.68, 0.03, 0.00, 0.86, 0.00, 0.96, 0.75, 0.89, 0.22, 0.19, 0.02, 0.00, 0.06, 0.12, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.067,  0.98,  1, 0.22, 0.19, 0.61, 0.02, 0.00, 0.81, 0.00, 0.99, 0.76, 0.90, 0.21, 0.15, 0.02, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.100,  0.98,  1, 0.15, 0.13, 0.59, 0.11, 0.00, 0.78, 0.00, 1.02, 0.78, 0.90, 0.11, 0.13, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.133,  0.98,  1, 0.11, 0.07, 0.52, 0.11, 0.00, 0.80, 0.00, 1.03, 0.82, 0.98, 0.04, 0.11, 0.00, 0.00, 0.05, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.167,  0.98,  1, 0.06, 0.07, 0.41, 0.08, 0.00, 0.97, 0.00, 1.00, 0.85, 1.16, 0.01, 0.15, 0.00, 0.06, 0.10, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.200,  0.98,  1, 0.01, 0.00, 0.30, 0.00, 0.00, 1.06, 0.00, 1.07, 0.90, 1.33, 0.00, 0.11, 0.00, 0.12, 0.19, 0.05, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.233,  0.98,  1, 0.00, 0.00, 0.30, 0.00, 0.00, 1.13, 0.00, 1.08, 0.89, 1.44, 0.00, 0.07, 0.00, 0.18, 0.13, 0.05, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.267,  0.98,  1, 0.00, 0.00, 0.35, 0.00, 0.00, 1.09, 0.00, 1.17, 0.90, 1.51, 0.00, 0.04, 0.00, 0.14, 0.09, 0.10, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.300,  0.98,  1, 0.00, 0.00, 0.46, 0.00, 0.03, 1.14, 0.01, 1.13, 0.92, 1.60, 0.00, 0.02, 0.00, 0.08, 0.05, 0.11, 0.39, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  0.333,  0.98,  1, 0.06, 0.00, 0.56, 0.00, 0.03, 0.78, 0.01, 1.09, 0.96, 1.60, 0.00, 0.03, 0.00, 0.03, 0.07, 0.11, 1.01, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
12,  0,  0.367,  0.98,  1, 0.06, 0.00, 0.70, 0.00, 0.03, 0.79, 0.01, 1.04, 0.96, 1.60, 0.00, 0.01, 0.00, 0.00, 0.11, 0.11, 1.55, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
13,  0,  0.400,  0.98,  1, 0.06, 0.00, 0.75, 0.00, 0.01, 0.67, 0.04, 1.10, 0.89, 1.56, 0.00, 0.08, 0.03, 0.00, 0.07, 0.14, 1.58, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
14,  0,  0.433,  0.98,  1, 0.00, 0.00, 0.77, 0.00, 0.01, 1.13, 0.10, 1.14, 0.81, 1.54, 0.03, 0.15, 0.11, 0.00, 0.09, 0.28, 1.19, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
15,  0,  0.467,  0.98,  1, 0.00, 0.00, 0.78, 0.00, 0.03, 1.31, 0.16, 1.13, 0.73, 1.43, 0.03, 0.19, 0.18, 0.00, 0.08, 0.32, 0.65, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
16,  0,  0.500,  0.98,  1, 0.00, 0.00, 0.82, 0.00, 0.03, 1.47, 0.15, 1.13, 0.70, 1.37, 0.05, 0.19, 0.26, 0.00, 0.07, 0.29, 0.23, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
17,  0,  0.533,  0.98,  1, 0.00, 0.00, 0.86, 0.00, 0.00, 1.41, 0.10, 1.18, 0.70, 1.37, 0.06, 0.19, 0.31, 0.00, 0.00, 0.18, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
