frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.86, 0.00, 0.00, 0.15, 0.28, 0.30, 0.17, 0.00, 0.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.033,  0.98,  1, 0.05, 0.08, 0.00, 0.00, 0.05, 0.84, 0.00, 0.00, 0.17, 0.11, 0.30, 0.09, 0.00, 0.10, 0.07, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.067,  0.98,  1, 0.05, 0.08, 0.00, 0.00, 0.10, 1.03, 0.00, 0.00, 0.16, 0.04, 0.20, 0.06, 0.00, 0.11, 0.11, 0.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.100,  0.98,  1, 0.09, 0.09, 0.00, 0.00, 0.15, 1.28, 0.00, 0.00, 0.18, 0.02, 0.20, 0.02, 0.00, 0.09, 0.08, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.133,  0.98,  1, 0.04, 0.01, 0.00, 0.00, 0.20, 1.68, 0.00, 0.00, 0.16, 0.06, 0.14, 0.09, 0.00, 0.08, 0.06, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.167,  0.98,  1, 0.04, 0.01, 0.00, 0.00, 0.24, 1.70, 0.00, 0.00, 0.14, 0.05, 0.22, 0.07, 0.00, 0.05, 0.04, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.200,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.23, 1.64, 0.00, 0.00, 0.11, 0.05, 0.23, 0.16, 0.00, 0.06, 0.04, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.233,  0.98,  1, 0.02, 0.00, 0.00, 0.00, 0.17, 1.35, 0.00, 0.00, 0.11, 0.00, 0.27, 0.19, 0.00, 0.04, 0.09, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.267,  0.98,  1, 0.02, 0.00, 0.00, 0.00, 0.12, 1.27, 0.00, 0.00, 0.11, 0.03, 0.28, 0.28, 0.00, 0.05, 0.08, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.300,  0.98,  1, 0.02, 0.00, 0.00, 0.02, 0.11, 1.19, 0.00, 0.00, 0.11, 0.08, 0.22, 0.24, 0.00, 0.03, 0.17, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  0.333,  0.98,  1, 0.00, 0.00, 0.00, 0.09, 0.08, 1.14, 0.00, 0.00, 0.13, 0.14, 0.18, 0.15, 0.00, 0.04, 0.12, 0.03, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12,  0,  0.367,  0.98,  1, 0.00, 0.00, 0.00, 0.11, 0.03, 1.06, 0.00, 0.00, 0.16, 0.13, 0.08, 0.16, 0.00, 0.05, 0.16, 0.06, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13,  0,  0.400,  0.98,  1, 0.01, 0.00, 0.00, 0.09, 0.04, 1.00, 0.00, 0.00, 0.18, 0.10, 0.05, 0.21, 0.00, 0.07, 0.08, 0.06, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
14,  0,  0.433,  0.98,  1, 0.02, 0.00, 0.00, 0.01, 0.10, 1.00, 0.00, 0.00, 0.19, 0.05, 0.00, 0.26, 0.00, 0.06, 0.06, 0.04, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
15,  0,  0.467,  0.98,  1, 0.02, 0.00, 0.00, 0.05, 0.13, 1.08, 0.00, 0.00, 0.23, 0.13, 0.00, 0.20, 0.00, 0.03, 0.03, 0.03, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
16,  0,  0.500,  0.98,  1, 0.03, 0.00, 0.00, 0.07, 0.16, 1.18, 0.00, 0.00, 0.27, 0.24, 0.00, 0.14, 0.00, 0.01, 0.07, 0.03, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
17,  0,  0.533,  0.98,  1, 0.05, 0.00, 0.00, 0.07, 0.21, 1.18, 0.00, 0.00, 0.32, 0.25, 0.00, 0.07, 0.07, 0.01, 0.11, 0.02, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18,  0,  0.567,  0.98,  1, 0.11, 0.10, 0.00, 0.02, 0.27, 1.04, 0.00, 0.00, 0.40, 0.23, 0.00, 0.08, 0.14, 0.00, 0.10, 0.01, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19,  0,  0.600,  0.98,  1, 0.10, 0.10, 0.00, 0.04, 0.27, 0.97, 0.00, 0.00, 0.46, 0.18, 0.00, 0.08, 0.27, 0.00, 0.10, 0.04, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
20,  0,  0.633,  0.98,  1, 0.08, 0.10, 0.00, 0.09, 0.28, 1.03, 0.01, 0.00, 0.49, 0.24, 0.00, 0.11, 0.33, 0.00, 0.05, 0.07, 0.04, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
21,  0,  0.667,  0.98,  1, 0.03, 0.00, 0.00, 0.09, 0.28, 1.16, 0.01, 0.00, 0.47, 0.26, 0.00, 0.12, 0.30, 0.00, 0.05, 0.07, 0.04, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22,  0,  0.700,  0.98,  1, 0.05, 0.00, 0.00, 0.05, 0.30, 1.27, 0.01, 0.00, 0.48, 0.28, 0.00, 0.15, 0.25, 0.00, 0.00, 0.10, 0.04, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
23,  0,  0.733,  0.98,  1, 0.03, 0.00, 0.00, 0.00, 0.33, 1.31, 0.00, 0.00, 0.50, 0.24, 0.00, 0.21, 0.26, 0.00, 0.03, 0.09, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
24,  0,  0.767,  0.98,  1, 0.02, 0.00, 0.00, 0.01, 0.36, 1.30, 0.00, 0.00, 0.49, 0.24, 0.00, 0.17, 0.30, 0.00, 0.06, 0.10, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
