frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 1.21, 0.00, 0.80, 3.43, 0.17, 1.28, 0.00, 0.71, 0.20, 0.14, 0.25, 0.00, 0.22, 0.35, 0.33, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.033,  0.98,  1, 0.01, 0.00, 1.22, 0.05, 0.55, 3.28, 0.06, 0.89, 0.00, 0.41, 0.16, 0.09, 0.11, 0.05, 0.07, 0.15, 0.11, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.067,  0.98,  1, 0.01, 0.00, 1.17, 0.12, 0.50, 3.45, 0.03, 0.65, 0.00, 0.26, 0.20, 0.05, 0.07, 0.06, 0.14, 0.16, 0.07, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.100,  0.98,  1, 0.24, 0.15, 0.99, 0.12, 0.40, 3.28, 0.03, 0.59, 0.00, 0.25, 0.13, 0.06, 0.05, 0.03, 0.25, 0.18, 0.53, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.133,  0.98,  1, 0.54, 0.40, 0.83, 0.16, 0.33, 3.16, 0.03, 0.57, 0.00, 0.18, 0.13, 0.11, 0.05, 0.01, 0.33, 0.15, 0.90, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
6,  0,  0.167,  0.98,  1, 0.59, 0.44, 0.85, 0.09, 0.22, 3.07, 0.00, 0.57, 0.00, 0.24, 0.02, 0.19, 0.05, 0.00, 0.28, 0.03, 1.13, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
7,  0,  0.200,  0.98,  1, 0.44, 0.37, 0.96, 0.09, 0.31, 3.24, 0.00, 0.60, 0.00, 0.23, 0.00, 0.22, 0.08, 0.00, 0.26, 0.01, 0.87, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
8,  0,  0.233,  0.98,  1, 0.22, 0.12, 1.15, 0.00, 0.40, 3.40, 0.03, 0.69, 0.00, 0.33, 0.01, 0.23, 0.08, 0.00, 0.17, 0.02, 0.53, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
9,  0,  0.267,  0.98,  1, 0.19, 0.08, 1.18, 0.00, 0.44, 3.32, 0.03, 0.72, 0.00, 0.32, 0.01, 0.14, 0.07, 0.00, 0.09, 0.02, 0.24, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.300,  0.98,  1, 0.11, 0.00, 1.25, 0.00, 0.43, 3.37, 0.07, 0.74, 0.00, 0.38, 0.03, 0.08, 0.04, 0.00, 0.04, 0.02, 0.04, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
11,  0,  0.333,  0.98,  1, 0.03, 0.00, 1.22, 0.00, 0.36, 3.22, 0.04, 0.70, 0.00, 0.44, 0.08, 0.01, 0.04, 0.00, 0.07, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
12,  0,  0.367,  0.98,  1, 0.00, 0.00, 1.20, 0.00, 0.34, 2.99, 0.04, 0.75, 0.00, 0.45, 0.09, 0.00, 0.00, 0.00, 0.11, 0.11, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
13,  0,  0.400,  0.98,  1, 0.00, 0.00, 1.13, 0.00, 0.30, 2.76, 0.02, 0.77, 0.00, 0.52, 0.07, 0.06, 0.00, 0.00, 0.10, 0.17, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
14,  0,  0.433,  0.98,  1, 0.00, 0.00, 1.08, 0.00, 0.34, 2.74, 0.02, 0.72, 0.00, 0.53, 0.01, 0.07, 0.00, 0.00, 0.09, 0.22, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
15,  0,  0.467,  0.98,  1, 0.00, 0.00, 0.98, 0.00, 0.32, 2.76, 0.02, 0.68, 0.00, 0.60, 0.00, 0.11, 0.00, 0.03, 0.04, 0.14, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
16,  0,  0.500,  0.98,  1, 0.00, 0.00, 1.02, 0.00, 0.31, 2.71, 0.00, 0.65, 0.00, 0.55, 0.00, 0.05, 0.00, 0.04, 0.03, 0.09, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
17,  0,  0.533,  0.98,  1, 0.00, 0.00, 1.04, 0.00, 0.26, 2.64, 0.00, 0.73, 0.00, 0.53, 0.00, 0.10, 0.00, 0.10, 0.00, 0.03, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
18,  0,  0.567,  0.98,  1, 0.00, 0.00, 1.09, 0.00, 0.25, 2.51, 0.00, 0.80, 0.00, 0.50, 0.00, 0.19, 0.00, 0.16, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
