frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.05, 0.04, 0.00, 0.24, 0.87, 0.20, 0.00, 1.13, 0.64, 0.57, 0.07, 0.00, 0.00, 0.00, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.033,  0.98,  1, 0.07, 0.12, 0.01, 0.08, 0.77, 0.12, 0.00, 1.06, 0.65, 0.58, 0.04, 0.18, 0.00, 0.00, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.067,  0.98,  1, 0.16, 0.21, 0.01, 0.04, 0.75, 0.14, 0.00, 1.09, 0.66, 0.53, 0.11, 0.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.100,  0.98,  1, 0.23, 0.15, 0.01, 0.04, 0.79, 0.26, 0.00, 1.17, 0.68, 0.51, 0.10, 0.33, 0.00, 0.00, 0.00, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.133,  0.98,  1, 0.18, 0.11, 0.00, 0.04, 0.80, 0.39, 0.00, 1.21, 0.71, 0.46, 0.13, 0.26, 0.00, 0.03, 0.04, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.167,  0.98,  1, 0.08, 0.00, 0.00, 0.00, 0.79, 0.43, 0.00, 1.19, 0.69, 0.46, 0.07, 0.22, 0.00, 0.04, 0.11, 0.11, 0.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.200,  0.98,  1, 0.01, 0.00, 0.00, 0.00, 0.80, 0.35, 0.00, 1.16, 0.65, 0.44, 0.05, 0.20, 0.01, 0.04, 0.16, 0.07, 0.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.233,  0.98,  1, 0.06, 0.01, 0.00, 0.00, 0.81, 0.25, 0.00, 1.10, 0.62, 0.38, 0.05, 0.19, 0.01, 0.03, 0.15, 0.12, 0.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.267,  0.98,  1, 0.06, 0.01, 0.00, 0.00, 0.83, 0.23, 0.03, 1.01, 0.62, 0.40, 0.02, 0.13, 0.01, 0.03, 0.12, 0.15, 0.21, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.300,  0.98,  1, 0.07, 0.01, 0.00, 0.00, 0.79, 0.21, 0.03, 0.92, 0.62, 0.43, 0.02, 0.10, 0.00, 0.03, 0.09, 0.11, 0.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  0.333,  0.98,  1, 0.01, 0.00, 0.00, 0.02, 0.74, 0.21, 0.05, 0.84, 0.61, 0.43, 0.00, 0.05, 0.00, 0.01, 0.05, 0.06, 0.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12,  0,  0.367,  0.98,  1, 0.03, 0.00, 0.00, 0.02, 0.69, 0.20, 0.02, 0.87, 0.63, 0.41, 0.06, 0.05, 0.00, 0.00, 0.03, 0.00, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13,  0,  0.400,  0.98,  1, 0.03, 0.00, 0.00, 0.02, 0.73, 0.25, 0.09, 0.94, 0.66, 0.50, 0.12, 0.09, 0.00, 0.00, 0.02, 0.00, 0.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
14,  0,  0.433,  0.98,  1, 0.05, 0.00, 0.03, 0.00, 0.73, 0.35, 0.07, 0.99, 0.69, 0.59, 0.12, 0.12, 0.00, 0.00, 0.10, 0.02, 0.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
15,  0,  0.467,  0.98,  1, 0.03, 0.00, 0.03, 0.00, 0.76, 0.34, 0.07, 0.99, 0.69, 0.69, 0.06, 0.15, 0.00, 0.00, 0.10, 0.08, 0.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
16,  0,  0.500,  0.98,  1, 0.06, 0.00, 0.03, 0.00, 0.74, 0.37, 0.05, 0.96, 0.69, 0.66, 0.00, 0.12, 0.07, 0.00, 0.09, 0.08, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
17,  0,  0.533,  0.98,  1, 0.03, 0.00, 0.00, 0.00, 0.77, 0.29, 0.05, 0.99, 0.67, 0.63, 0.00, 0.10, 0.15, 0.00, 0.02, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18,  0,  0.567,  0.98,  1, 0.03, 0.00, 0.00, 0.00, 0.79, 0.35, 0.05, 1.04, 0.69, 0.61, 0.00, 0.04, 0.21, 0.00, 0.08, 0.07, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19,  0,  0.600,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.81, 0.25, 0.04, 1.15, 0.69, 0.63, 0.00, 0.05, 0.26, 0.02, 0.11, 0.14, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
20,  0,  0.633,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.82, 0.17, 0.04, 1.22, 0.73, 0.74, 0.00, 0.09, 0.19, 0.04, 0.13, 0.16, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
21,  0,  0.667,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.78, 0.02, 0.04, 1.20, 0.75, 0.59, 0.00, 0.09, 0.13, 0.04, 0.07, 0.11, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22,  0,  0.700,  0.98,  1, 0.00, 0.00, 0.00, 0.02, 0.73, 0.02, 0.00, 1.13, 0.76, 0.57, 0.02, 0.06, 0.01, 0.02, 0.03, 0.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
23,  0,  0.733,  0.98,  1, 0.00, 0.00, 0.00, 0.02, 0.71, 0.00, 0.01, 1.01, 0.74, 0.50, 0.02, 0.05, 0.03, 0.01, 0.04, 0.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
