frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.87, 0.16, 0.00, 0.66, 0.04, 1.14, 0.60, 0.95, 0.00, 0.00, 0.00, 0.02, 0.12, 0.32, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.033,  0.98,  1, 0.03, 0.00, 0.91, 0.06, 0.00, 0.75, 0.01, 1.09, 0.62, 0.83, 0.03, 0.02, 0.00, 0.04, 0.06, 0.11, 0.11, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.067,  0.98,  1, 0.03, 0.00, 0.94, 0.00, 0.00, 0.72, 0.01, 1.06, 0.61, 0.79, 0.05, 0.04, 0.00, 0.03, 0.10, 0.01, 0.11, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.100,  0.98,  1, 0.03, 0.00, 0.86, 0.00, 0.00, 0.80, 0.02, 1.00, 0.57, 0.83, 0.04, 0.07, 0.00, 0.06, 0.13, 0.08, 0.12, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.133,  0.98,  1, 0.00, 0.00, 0.74, 0.00, 0.00, 0.84, 0.02, 0.91, 0.56, 0.80, 0.06, 0.08, 0.00, 0.02, 0.15, 0.12, 0.05, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.167,  0.98,  1, 0.00, 0.00, 0.63, 0.00, 0.00, 0.88, 0.01, 0.83, 0.55, 0.73, 0.04, 0.10, 0.04, 0.02, 0.10, 0.17, 0.05, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.200,  0.98,  1, 0.02, 0.00, 0.56, 0.00, 0.00, 0.75, 0.01, 0.83, 0.57, 0.72, 0.06, 0.17, 0.06, 0.00, 0.09, 0.22, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.233,  0.98,  1, 0.02, 0.07, 0.58, 0.00, 0.00, 0.70, 0.01, 0.83, 0.55, 0.68, 0.02, 0.23, 0.09, 0.01, 0.05, 0.20, 0.01, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.267,  0.98,  1, 0.02, 0.12, 0.61, 0.00, 0.00, 0.75, 0.01, 0.82, 0.54, 0.64, 0.02, 0.27, 0.08, 0.02, 0.03, 0.15, 0.03, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.300,  0.98,  1, 0.00, 0.15, 0.67, 0.00, 0.00, 0.74, 0.02, 0.79, 0.53, 0.62, 0.00, 0.20, 0.05, 0.02, 0.04, 0.03, 0.03, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  0.333,  0.98,  1, 0.00, 0.08, 0.70, 0.00, 0.00, 0.74, 0.02, 0.80, 0.54, 0.55, 0.00, 0.13, 0.02, 0.01, 0.07, 0.01, 0.01, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12,  0,  0.367,  0.98,  1, 0.00, 0.03, 0.69, 0.00, 0.00, 0.73, 0.02, 0.85, 0.53, 0.58, 0.04, 0.11, 0.00, 0.00, 0.06, 0.01, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13,  0,  0.400,  0.98,  1, 0.00, 0.00, 0.72, 0.03, 0.00, 0.81, 0.00, 0.88, 0.53, 0.52, 0.04, 0.10, 0.00, 0.00, 0.03, 0.08, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
14,  0,  0.433,  0.98,  1, 0.03, 0.00, 0.71, 0.03, 0.00, 0.81, 0.00, 0.88, 0.54, 0.50, 0.04, 0.10, 0.00, 0.00, 0.01, 0.08, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
15,  0,  0.467,  0.98,  1, 0.06, 0.00, 0.67, 0.03, 0.00, 0.82, 0.00, 0.86, 0.54, 0.48, 0.01, 0.06, 0.00, 0.00, 0.01, 0.16, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
16,  0,  0.500,  0.98,  1, 0.08, 0.00, 0.58, 0.00, 0.00, 0.72, 0.00, 0.86, 0.53, 0.53, 0.01, 0.05, 0.00, 0.00, 0.01, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
