frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 1.63, 0.00, 0.72, 3.11, 0.16, 0.78, 0.00, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.04, 0.17, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.033,  0.98,  1, 0.00, 0.00, 1.54, 0.00, 0.64, 3.28, 0.09, 0.59, 0.00, 0.10, 0.05, 0.04, 0.07, 0.04, 0.03, 0.08, 0.09, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.067,  0.98,  1, 0.00, 0.00, 1.54, 0.00, 0.58, 3.30, 0.05, 0.48, 0.00, 0.11, 0.05, 0.11, 0.07, 0.05, 0.06, 0.10, 0.09, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.100,  0.98,  1, 0.01, 0.00, 1.72, 0.00, 0.61, 3.21, 0.11, 0.51, 0.00, 0.10, 0.03, 0.11, 0.03, 0.06, 0.05, 0.12, 0.17, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.133,  0.98,  1, 0.10, 0.00, 1.64, 0.00, 0.55, 2.97, 0.07, 0.48, 0.00, 0.14, 0.08, 0.21, 0.06, 0.05, 0.09, 0.07, 0.17, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.167,  0.98,  1, 0.10, 0.00, 1.57, 0.00, 0.51, 2.99, 0.06, 0.55, 0.00, 0.12, 0.08, 0.18, 0.05, 0.08, 0.06, 0.08, 0.12, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.200,  0.98,  1, 0.08, 0.00, 1.39, 0.00, 0.45, 3.06, 0.00, 0.55, 0.00, 0.14, 0.06, 0.23, 0.03, 0.09, 0.05, 0.06, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.233,  0.98,  1, 0.00, 0.00, 1.38, 0.00, 0.43, 3.28, 0.00, 0.56, 0.00, 0.11, 0.00, 0.11, 0.00, 0.11, 0.02, 0.04, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.267,  0.98,  1, 0.09, 0.10, 1.37, 0.12, 0.46, 3.50, 0.00, 0.49, 0.00, 0.10, 0.00, 0.08, 0.00, 0.07, 0.05, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.300,  0.98,  1, 0.22, 0.12, 1.42, 0.17, 0.49, 3.60, 0.00, 0.45, 0.00, 0.05, 0.00, 0.04, 0.00, 0.04, 0.05, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  0.333,  0.98,  1, 0.37, 0.21, 1.47, 0.17, 0.56, 3.63, 0.00, 0.42, 0.00, 0.05, 0.00, 0.06, 0.00, 0.00, 0.05, 0.02, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12,  0,  0.367,  0.98,  1, 0.41, 0.11, 1.56, 0.09, 0.52, 3.48, 0.00, 0.40, 0.00, 0.07, 0.00, 0.07, 0.00, 0.00, 0.05, 0.02, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13,  0,  0.400,  0.98,  1, 0.40, 0.13, 1.56, 0.06, 0.49, 3.44, 0.00, 0.36, 0.00, 0.07, 0.00, 0.09, 0.00, 0.00, 0.09, 0.02, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
14,  0,  0.433,  0.98,  1, 0.33, 0.09, 1.54, 0.11, 0.47, 3.51, 0.00, 0.37, 0.00, 0.09, 0.00, 0.06, 0.00, 0.00, 0.07, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
15,  0,  0.467,  0.98,  1, 0.27, 0.11, 1.46, 0.08, 0.47, 3.44, 0.00, 0.39, 0.00, 0.09, 0.00, 0.04, 0.01, 0.00, 0.05, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
16,  0,  0.500,  0.98,  1, 0.17, 0.15, 1.39, 0.07, 0.47, 3.35, 0.00, 0.42, 0.00, 0.11, 0.00, 0.06, 0.01, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
17,  0,  0.533,  0.98,  1, 0.10, 0.10, 1.40, 0.01, 0.48, 3.27, 0.00, 0.40, 0.00, 0.11, 0.00, 0.06, 0.01, 0.00, 0.05, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18,  0,  0.567,  0.98,  1, 0.03, 0.08, 1.38, 0.05, 0.55, 3.29, 0.00, 0.37, 0.00, 0.13, 0.00, 0.08, 0.03, 0.00, 0.04, 0.03, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19,  0,  0.600,  0.98,  1, 0.01, 0.00, 1.45, 0.06, 0.62, 3.37, 0.00, 0.43, 0.00, 0.11, 0.00, 0.04, 0.05, 0.00, 0.07, 0.03, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
20,  0,  0.633,  0.98,  1, 0.04, 0.00, 1.47, 0.06, 0.66, 3.26, 0.00, 0.49, 0.00, 0.07, 0.00, 0.04, 0.08, 0.00, 0.10, 0.04, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
21,  0,  0.667,  0.98,  1, 0.16, 0.00, 1.51, 0.02, 0.64, 3.16, 0.00, 0.54, 0.00, 0.08, 0.02, 0.05, 0.05, 0.01, 0.10, 0.01, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22,  0,  0.700,  0.98,  1, 0.22, 0.00, 1.53, 0.00, 0.60, 3.12, 0.00, 0.48, 0.00, 0.14, 0.08, 0.08, 0.03, 0.01, 0.09, 0.03, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
23,  0,  0.733,  0.98,  1, 0.17, 0.00, 1.51, 0.00, 0.56, 3.14, 0.00, 0.45, 0.00, 0.17, 0.08, 0.15, 0.00, 0.04, 0.09, 0.02, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
